"","Tier","Yellow","Green"
"1305",5,1,0
"1306",6,2,0
"1307",7,2,0
"1308",8,1,0
"1309",9,0,1
"1310",10,1,0
"1311",1,2,0
"1312",2,2,1
"1313",3,0,2
"1314",4,1,0
"1315",5,3,0
"1316",6,0,4
"1317",7,2,0
"1318",8,2,0
"1319",9,1,1
"1320",10,2,0
"1321",1,1,0
"1322",2,1,1
"1323",3,0,1
"1324",4,0,2
"1325",5,1,1
"1326",6,2,0
"1327",7,1,0
"1328",8,1,0
"1329",9,0,2
"1330",10,0,1
"1331",1,0,0
"1332",2,1,2
"1333",3,2,0
"1334",4,3,0
"1335",5,2,0
"1336",6,0,1
"1337",7,1,1
"1338",8,2,0
"1339",9,1,0
"1340",10,2,1
"1341",1,0,1
"1342",2,1,2
"1343",3,1,0
"1344",4,0,1
"1345",5,1,1
"1346",6,3,0
"1347",7,3,0
"1348",8,0,1
"1349",9,0,0
"1350",10,0,1
"1351",1,0,1
"1352",2,0,0
"1353",3,0,2
"1354",4,2,0
"1355",5,2,0
"1356",6,3,0
"1357",7,1,1
"1358",8,0,1
"1359",9,2,0
"1360",10,0,1
"1361",1,0,0
"1362",2,1,3
"1363",3,2,1
"1364",4,1,1
"1365",5,1,1
"1366",6,1,1
"1367",7,1,2
"1368",8,1,0
"1369",9,2,0
"1370",10,2,1
"1371",1,1,1
"1372",2,1,0
"1373",3,0,1
"1374",4,1,1
"1375",5,3,0
"1376",6,0,0
"1377",7,0,1
"1378",8,0,1
"1379",9,0,1
"1380",10,2,0
"1381",1,0,1
"1382",2,1,2
"1383",3,3,0
"1384",4,0,3
"1385",5,1,1
"1386",6,0,0
"1387",7,1,0
"1388",8,1,0
"1389",9,2,1
"1390",10,2,1
"1391",1,1,1
"1392",2,0,1
"1393",3,1,1
"1394",4,1,0
"1395",5,3,0
"1396",6,0,1
"1397",7,3,1
"1398",8,2,0
"1399",9,2,0
"1400",10,0,1
"1401",1,0,0
"1402",2,0,1
"1403",3,0,0
"1404",4,1,1
"1405",5,0,2
"1406",6,1,0
"1407",7,1,1
"1408",8,2,1
"1409",9,1,1
"1410",10,2,0
"1411",1,2,0
"1412",2,2,1
"1413",3,1,1
"1414",4,1,1
"1415",5,3,0
"1416",6,1,0
"1417",7,2,1
"1418",8,2,1
"1419",9,1,0
"1420",10,1,1
"1421",1,2,0
"1422",2,1,0
"1423",3,1,0
"1424",4,1,1
"1425",5,1,0
"1426",6,1,1
"1427",7,1,0
"1428",8,1,0
"1429",9,1,0
"1430",10,2,0
"1431",1,1,0
"1432",2,1,0
"1433",3,0,1
"1434",4,3,1
"1435",5,2,0
"1436",6,0,0
"1437",7,2,1
"1438",8,1,0
"1439",9,3,0
"1440",10,2,0
"1441",1,1,1
"1442",2,0,1
"1443",3,2,0
"1444",4,1,0
"1445",5,2,0
"1446",6,1,1
"1447",7,2,0
"1448",8,1,1
"1449",9,2,0
"1450",10,1,1
"1451",1,1,0
"1452",2,0,2
"1453",3,1,0
"1454",4,0,0
"1455",5,2,0
"1456",6,1,0
"1457",7,1,0
"1458",8,1,1
"1459",9,1,0
"1460",10,0,1
"1461",1,1,0
"1462",2,1,2
"1463",3,4,0
"1464",4,1,0
"1465",5,2,0
"1466",6,0,0
"1467",7,1,0
"1468",8,1,0
"1469",9,1,1
"1470",10,3,0
"1471",1,1,1
"1472",2,2,0
"1473",3,2,0
"1474",4,1,1
"1475",5,0,2
"1476",6,0,1
"1477",7,1,1
"1478",8,1,0
"1479",9,0,1
"1480",10,0,3
"1481",1,0,0
"1482",2,3,1
"1483",3,2,1
"1484",4,2,0
"1485",5,1,0
"1486",6,2,0
"1487",7,0,2
"1488",8,0,1
"1489",9,1,1
"1490",10,2,0
"1491",1,0,0
"1492",2,1,1
